% Model:              Euler_bend_MM_straight.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 12 2021, 15:22
% Table:              Table 1 - Global Evaluation 1
% f_pump (Hz)                                     lambda                                            Frequency (Hz)                                    Effective mode index (1)
1.8E14                                            1.6037144176513982-2.1506405110816547E-7i         1.8E14                                            1.6037144176513982-2.1506405110816547E-7i
1.8E14                                            1.7603550314530922-4.076848785321551E-9i          1.8E14                                            1.7603550314530922-4.076848785321551E-9i
1.8E14                                            1.8558629390321584-1.060453875902964E-9i          1.8E14                                            1.8558629390321584-1.060453875902964E-9i
1.81E14                                           1.6074482395771033-1.7684884953096216E-7i         1.81E14                                           1.6074482395771033-1.7684884953096216E-7i
1.81E14                                           1.7627276739811522-3.4960895653490054E-9i         1.81E14                                           1.7627276739811522-3.4960895653490054E-9i
1.81E14                                           1.8572587300675916-9.205733938621721E-10i         1.81E14                                           1.8572587300675916-9.205733938621721E-10i
1.82E14                                           1.6111444756500217-1.4553482543201728E-7i         1.82E14                                           1.6111444756500217-1.4553482543201728E-7i
1.82E14                                           1.7650693563482638-2.9988921737297803E-9i         1.82E14                                           1.7650693563482638-2.9988921737297803E-9i
1.82E14                                           1.858637435815283-7.992227497961178E-10i          1.82E14                                           1.858637435815283-7.992227497961178E-10i
1.83E14                                           1.6148025254993934-1.1985418767820117E-7i         1.83E14                                           1.6148025254993934-1.1985418767820117E-7i
1.83E14                                           1.7673804165778668-2.5729924487465118E-9i         1.83E14                                           1.7673804165778668-2.5729924487465118E-9i
1.83E14                                           1.8599993339562775-6.938858210414603E-10i         1.83E14                                           1.8599993339562775-6.938858210414603E-10i
1.84E14                                           1.618423261145171-9.590524751509318E-8i           1.84E14                                           1.618423261145171-9.590524751509318E-8i
1.84E14                                           1.7696617318474241-2.20808414367055E-9i           1.84E14                                           1.7696617318474241-2.20808414367055E-9i
1.84E14                                           1.8613448045124106-6.024627126553993E-10i         1.84E14                                           1.8613448045124106-6.024627126553993E-10i
1.85E14                                           1.622006193070493-8.147092827723413E-8i           1.85E14                                           1.622006193070493-8.147092827723413E-8i
1.85E14                                           1.7719136650839815-1.8953402433032267E-9i         1.85E14                                           1.7719136650839815-1.8953402433032267E-9i
1.85E14                                           1.8626741616132396-5.231303249424075E-10i         1.85E14                                           1.8626741616132396-5.231303249424075E-10i
1.86E14                                           1.625551429923986-6.724485893573403E-8i           1.86E14                                           1.625551429923986-6.724485893573403E-8i
1.86E14                                           1.7741367618450885-1.6272794110553973E-9i         1.86E14                                           1.7741367618450885-1.6272794110553973E-9i
1.86E14                                           1.8639877011811268-4.542736137579692E-10i         1.86E14                                           1.8639877011811268-4.542736137579692E-10i
1.87E14                                           1.629059013518449-5.985780985323093E-8i           1.87E14                                           1.629059013518449-5.985780985323093E-8i
1.87E14                                           1.776331494863307-1.3974459986543973E-9i          1.87E14                                           1.776331494863307-1.3974459986543973E-9i
1.87E14                                           1.8652857087315207-3.9452714548868665E-10i        1.87E14                                           1.8652857087315207-3.9452714548868665E-10i
1.88E14                                           1.6325289746128238-4.170820719774441E-8i          1.88E14                                           1.6325289746128238-4.170820719774441E-8i
1.88E14                                           1.7784982125354682-1.2003796868127569E-9i         1.88E14                                           1.7784982125354682-1.2003796868127569E-9i
1.88E14                                           1.8665683042122325-3.4264462947407946E-10i        1.88E14                                           1.8665683042122325-3.4264462947407946E-10i
1.89E14                                           1.6359615084802082-3.797912883512021E-8i          1.89E14                                           1.6359615084802082-3.797912883512021E-8i
1.89E14                                           1.7806374350203054-1.0313039948336458E-9i         1.89E14                                           1.7806374350203054-1.0313039948336458E-9i
1.89E14                                           1.867835780468317-2.976140592521551E-10i          1.89E14                                           1.867835780468317-2.976140592521551E-10i
1.9E14                                            1.6393567045570234-3.1782855142911304E-8i         1.9E14                                            1.6393567045570234-3.1782855142911304E-8i
1.9E14                                            1.7827496234881965-8.862706983296281E-10i         1.9E14                                            1.7827496234881965-8.862706983296281E-10i
1.9E14                                            1.8690884324195494-2.585113840766814E-10i         1.9E14                                            1.8690884324195494-2.585113840766814E-10i
1.91E14                                           1.642714925173529-2.716683993380613E-8i           1.91E14                                           1.642714925173529-2.716683993380613E-8i
1.91E14                                           1.7848353157536672-7.617435186193273E-10i         1.91E14                                           1.7848353157536672-7.617435186193273E-10i
1.91E14                                           1.8703265640781295-2.2456360436219107E-10i        1.91E14                                           1.8703265640781295-2.2456360436219107E-10i
1.92E14                                           1.6460363714926367-1.637341840931712E-8i          1.92E14                                           1.6460363714926367-1.637341840931712E-8i
1.92E14                                           1.7868949695939218-6.548688381506498E-10i         1.92E14                                           1.7868949695939218-6.548688381506498E-10i
1.92E14                                           1.8715504535209704-1.9509356497311374E-10i        1.92E14                                           1.8715504535209704-1.9509356497311374E-10i
1.93E14                                           1.6493212132213282-1.7909560424081572E-8i         1.93E14                                           1.6493212132213282-1.7909560424081572E-8i
1.93E14                                           1.7889290163681004-5.631071804823449E-10i         1.93E14                                           1.7889290163681004-5.631071804823449E-10i
1.93E14                                           1.872760343870215-1.694989877251875E-10i          1.93E14                                           1.872760343870215-1.694989877251875E-10i
1.94E14                                           1.652569567733209-1.351339196650404E-8i           1.94E14                                           1.652569567733209-1.351339196650404E-8i
1.94E14                                           1.7909377367748627-4.843125313371716E-10i         1.94E14                                           1.7909377367748627-4.843125313371716E-10i
1.94E14                                           1.8739563289538461-1.4727307509073742E-10i        1.94E14                                           1.8739563289538461-1.4727307509073742E-10i
1.95E14                                           1.655781776466893-1.0953556416273605E-8i          1.95E14                                           1.655781776466893-1.0953556416273605E-8i
1.95E14                                           1.7929215700178898-4.1662416928568153E-10i        1.95E14                                           1.7929215700178898-4.1662416928568153E-10i
1.95E14                                           1.875138644174452-1.2796704943479321E-10i         1.95E14                                           1.875138644174452-1.2796704943479321E-10i
1.96E14                                           1.6589581676904033-1.0266063431880359E-8i         1.96E14                                           1.6589581676904033-1.0266063431880359E-8i
1.96E14                                           1.7948809761482576-3.584571528350012E-10i         1.96E14                                           1.7948809761482576-3.584571528350012E-10i
1.96E14                                           1.876307558938263-1.1120032996346546E-10i         1.96E14                                           1.876307558938263-1.1120032996346546E-10i
1.97E14                                           1.662098964330408-9.225926345534584E-9i           1.97E14                                           1.662098964330408-9.225926345534584E-9i
1.97E14                                           1.7968163556957475-3.0847473210894795E-10i        1.97E14                                           1.7968163556957475-3.0847473210894795E-10i
1.97E14                                           1.8774633316413096-9.663893662876574E-11i         1.97E14                                           1.8774633316413096-9.663893662876574E-11i
1.98E14                                           1.6652046881830957-7.070450307977838E-9i          1.98E14                                           1.6652046881830957-7.070450307977838E-9i
1.98E14                                           1.7987282085231786-2.6552246617374204E-10i        1.98E14                                           1.7987282085231786-2.6552246617374204E-10i
1.98E14                                           1.8786062248007096-8.398873301329881E-11i         1.98E14                                           1.8786062248007096-8.398873301329881E-11i
1.99E14                                           1.668275665258352-5.355683540547876E-9i           1.99E14                                           1.668275665258352-5.355683540547876E-9i
1.99E14                                           1.8006169531868157-2.2858087427862287E-10i        1.99E14                                           1.8006169531868157-2.2858087427862287E-10i
1.99E14                                           1.8797364865924713-7.299426939943847E-11i         1.99E14                                           1.8797364865924713-7.299426939943847E-11i
2.0E14                                            1.6713120648410444-1.8917911553906513E-10i        2.0E14                                            1.6713120648410444-1.8917911553906513E-10i
2.0E14                                            1.8024828708662086-1.9682722247955738E-10i        2.0E14                                            1.8024828708662086-1.9682722247955738E-10i
2.0E14                                            1.8808542705515991-6.344651942317834E-11i         2.0E14                                            1.8808542705515991-6.344651942317834E-11i
2.01E14                                           1.6743141619562854-5.645059190941761E-9i          2.01E14                                           1.6743141619562854-5.645059190941761E-9i
2.01E14                                           1.804326235234006-1.6950746074709161E-10i         2.01E14                                           1.804326235234006-1.6950746074709161E-10i
2.01E14                                           1.881959659120981-5.514883824117091E-11i          2.01E14                                           1.881959659120981-5.514883824117091E-11i
2.02E14                                           1.6772823083845383-3.591377190377886E-9i          2.02E14                                           1.6772823083845383-3.591377190377886E-9i
2.02E14                                           1.8061474439996372-1.4601885304643526E-10i        2.02E14                                           1.8061474439996372-1.4601885304643526E-10i
2.02E14                                           1.883052873644157-4.7941797790393986E-11i         2.02E14                                           1.883052873644157-4.7941797790393986E-11i
2.03E14                                           1.6802170318639456-2.6273555552398795E-9i         2.03E14                                           1.6802170318639456-2.6273555552398795E-9i
2.03E14                                           1.8079469386159552-1.2579800279815983E-10i        2.03E14                                           1.8079469386159552-1.2579800279815983E-10i
2.03E14                                           1.8841341726547516-4.1678666484280106E-11i        2.03E14                                           1.8841341726547516-4.1678666484280106E-11i
2.04E14                                           1.6831185595351275-1.9806266487237982E-9i         2.04E14                                           1.6831185595351275-1.9806266487237982E-9i
2.04E14                                           1.8097250483826806-1.0839527866755264E-10i        2.04E14                                           1.8097250483826806-1.0839527866755264E-10i
2.04E14                                           1.8852037603054415-3.623585707415892E-11i         2.04E14                                           1.8852037603054415-3.623585707415892E-11i
2.05E14                                           1.6859872426907334-1.6108903595281617E-9i         2.05E14                                           1.6859872426907334-1.6108903595281617E-9i
2.05E14                                           1.8114821437918374-9.342173325450166E-11i         2.05E14                                           1.8114821437918374-9.342173325450166E-11i
2.05E14                                           1.8862618680026437-3.15077076419076E-11i          2.05E14                                           1.8862618680026437-3.15077076419076E-11i
2.06E14                                           1.6888236938153118-2.360861742887615E-9i          2.06E14                                           1.6888236938153118-2.360861742887615E-9i
2.06E14                                           1.8132186857034487-8.052912137607276E-11i         2.06E14                                           1.8132186857034487-8.052912137607276E-11i
2.06E14                                           1.8873087314679546-2.73971581047153E-11i          2.06E14                                           1.8873087314679546-2.73971581047153E-11i
2.07E14                                           1.6916282900900326-1.3802129509214881E-9i         2.07E14                                           1.6916282900900326-1.3802129509214881E-9i
2.07E14                                           1.814934993948124-6.943331030233852E-11i          2.07E14                                           1.814934993948124-6.943331030233852E-11i
2.07E14                                           1.8883445093030036-2.3824110992818602E-11i        2.07E14                                           1.8883445093030036-2.3824110992818602E-11i
2.08E14                                           1.6944010904863207-1.3382120286267257E-9i         2.08E14                                           1.6944010904863207-1.3382120286267257E-9i
2.08E14                                           1.816631177864731-5.98622666435582E-11i           2.08E14                                           1.816631177864731-5.98622666435582E-11i
2.08E14                                           1.8893692131308737-2.071825608558594E-11i         2.08E14                                           1.8893692131308737-2.071825608558594E-11i
2.09E14                                           1.6971425099959148-5.463334773076292E-10i         2.09E14                                           1.6971425099959148-5.463334773076292E-10i
2.09E14                                           1.8183075932963186-5.162651559245494E-11i         2.09E14                                           1.8183075932963186-5.162651559245494E-11i
2.09E14                                           1.8903830379133508-1.8018189639637743E-11i        2.09E14                                           1.8903830379133508-1.8018189639637743E-11i
2.1E14                                            1.6998530078582512-1.9403607330516677E-9i         2.1E14                                            1.6998530078582512-1.9403607330516677E-9i
2.1E14                                            1.8199646148445074-4.452826032424953E-11i         2.1E14                                            1.8199646148445074-4.452826032424953E-11i
2.1E14                                            1.891386205944301-1.5669102216771518E-11i         2.1E14                                            1.891386205944301-1.5669102216771518E-11i
2.11E14                                           1.702533028102723-5.818969441592231E-10i          2.11E14                                           1.702533028102723-5.818969441592231E-10i
2.11E14                                           1.8216026041093392-3.841181646011988E-11i         2.11E14                                           1.8216026041093392-3.841181646011988E-11i
2.11E14                                           1.892378917331269-1.362868099400083E-11i          2.11E14                                           1.892378917331269-1.362868099400083E-11i
2.12E14                                           1.705182865633628-1.0180751131213274E-9i          2.12E14                                           1.705182865633628-1.0180751131213274E-9i
2.12E14                                           1.8232218480101658-3.31446366530814E-11i          2.12E14                                           1.8232218480101658-3.31446366530814E-11i
2.12E14                                           1.8933613522356652-1.1854597035108662E-11i        2.12E14                                           1.8933613522356652-1.1854597035108662E-11i
2.13E14                                           1.7078030131736823-7.369904996492554E-10i         2.13E14                                           1.7078030131736823-7.369904996492554E-10i
2.13E14                                           1.824822720978825-2.8604922400872745E-11i         2.13E14                                           1.824822720978825-2.8604922400872745E-11i
2.13E14                                           1.8943337292889688-1.0312874631695459E-11i        2.13E14                                           1.8943337292889688-1.0312874631695459E-11i
2.14E14                                           1.7103938808358548-5.08217843895258E-10i          2.14E14                                           1.7103938808358548-5.08217843895258E-10i
2.14E14                                           1.8264055488961486-2.468995248754635E-11i         2.14E14                                           1.8264055488961486-2.468995248754635E-11i
2.14E14                                           1.8952962314473392-8.970786838191553E-12i         2.14E14                                           1.8952962314473392-8.970786838191553E-12i
2.15E14                                           1.7129556980558152-2.4074593890674447E-10i        2.15E14                                           1.7129556980558152-2.4074593890674447E-10i
2.15E14                                           1.8279705069616439-2.1311992864755668E-11i        2.15E14                                           1.8279705069616439-2.1311992864755668E-11i
2.15E14                                           1.896248923755947-7.80407143948417E-12i           2.15E14                                           1.896248923755947-7.80407143948417E-12i
2.16E14                                           1.7154888269072792-1.9761195049537828E-10i        2.16E14                                           1.7154888269072792-1.9761195049537828E-10i
2.16E14                                           1.829517811775221-1.839832767959096E-11i          2.16E14                                           1.829517811775221-1.839832767959096E-11i
2.16E14                                           1.8971918493286493-6.7901404789700585E-12i        2.16E14                                           1.8971918493286493-6.7901404789700585E-12i
2.17E14                                           1.7179935404732338-5.861591972252622E-11i         2.17E14                                           1.7179935404732338-5.861591972252622E-11i
2.17E14                                           1.831047714077748-1.5886096195574226E-11i         2.17E14                                           1.831047714077748-1.5886096195574226E-11i
2.17E14                                           1.8981251780421895-5.907626663682387E-12i         2.17E14                                           1.8981251780421895-5.907626663682387E-12i
2.18E14                                           1.720470376866952-1.0723473050909139E-10i         2.18E14                                           1.720470376866952-1.0723473050909139E-10i
2.18E14                                           1.8325605970152798-1.3719882269915395E-11i        2.18E14                                           1.8325605970152798-1.3719882269915395E-11i
2.18E14                                           1.8990491254430013-5.140704402619548E-12i         2.18E14                                           1.8990491254430013-5.140704402619548E-12i
2.19E14                                           1.7229196581319204-1.469787169517435E-10i         2.19E14                                           1.7229196581319204-1.469787169517435E-10i
2.19E14                                           1.8340567216097434-1.1851358765484306E-11i        2.19E14                                           1.8340567216097434-1.1851358765484306E-11i
2.19E14                                           1.8999638599986075-4.4731235731961076E-12i        2.19E14                                           1.8999638599986075-4.4731235731961076E-12i
2.2E14                                            1.7253418011893118-1.0141969273853244E-10i        2.2E14                                            1.7253418011893118-1.0141969273853244E-10i
2.2E14                                            1.835536391415515-1.0237853581044303E-11i         2.2E14                                            1.835536391415515-1.0237853581044303E-11i
2.2E14                                            1.9008695445438972-3.892484413710579E-12i         2.2E14                                            1.9008695445438972-3.892484413710579E-12i
